database,table,column,position,data_type,avg_length,cardinality,is_id/key_suffix,table_rows,is_nullable,is_all_null
adventure_work_2019,dbo_awbuildversion,SystemInformationID,1,tinyint,1.0,1,Yes,1,No,No
adventure_work_2019,dbo_awbuildversion,Database Version,2,varchar,13.0,1,No,1,No,No
adventure_work_2019,dbo_awbuildversion,VersionDate,3,datetime,26.0,1,No,1,No,No
adventure_work_2019,dbo_awbuildversion,ModifiedDate,4,timestamp,19.0,1,No,1,No,No
adventure_work_2019,dbo_databaselog,DatabaseLogID,1,int,3.31,1596,Yes,1596,No,No
adventure_work_2019,dbo_databaselog,PostTime,2,datetime,26.0,925,No,1596,No,No
adventure_work_2019,dbo_databaselog,DatabaseUser,3,varchar,3.0,1,No,1596,No,No
adventure_work_2019,dbo_databaselog,Event,4,varchar,21.36,15,No,1596,No,No
adventure_work_2019,dbo_databaselog,Schema,5,varchar,7.96,7,No,1596,Yes,No
adventure_work_2019,dbo_databaselog,Object,6,varchar,21.41,902,No,1596,Yes,No
adventure_work_2019,dbo_databaselog,TSQL,7,longtext,274.47,1596,No,1596,No,No
adventure_work_2019,dbo_databaselog,XmlEvent,8,text,1251.98,1596,No,1596,No,No
adventure_work_2019,dbo_errorlog,ErrorLogID,1,int,0.0,0,Yes,0,No,No
adventure_work_2019,dbo_errorlog,ErrorTime,2,timestamp,0.0,0,No,0,No,No
adventure_work_2019,dbo_errorlog,UserName,3,varchar,0.0,0,No,0,No,No
adventure_work_2019,dbo_errorlog,ErrorNumber,4,int,0.0,0,No,0,No,No
adventure_work_2019,dbo_errorlog,ErrorSeverity,5,int,0.0,0,No,0,Yes,No
adventure_work_2019,dbo_errorlog,ErrorState,6,int,0.0,0,No,0,Yes,No
adventure_work_2019,dbo_errorlog,ErrorProcedure,7,varchar,0.0,0,No,0,Yes,No
adventure_work_2019,dbo_errorlog,ErrorLine,8,int,0.0,0,No,0,Yes,No
adventure_work_2019,dbo_errorlog,ErrorMessage,9,varchar,0.0,0,No,0,No,No
adventure_work_2019,humanresources_department,DepartmentID,1,smallint,1.44,16,Yes,16,No,No
adventure_work_2019,humanresources_department,Name,2,varchar,14.38,16,No,16,No,No
adventure_work_2019,humanresources_department,GroupName,3,varchar,24.38,6,No,16,No,No
adventure_work_2019,humanresources_department,ModifiedDate,4,timestamp,19.0,1,No,16,No,No
adventure_work_2019,humanresources_employee,BusinessEntityID,1,int,2.63,290,Yes,290,No,No
adventure_work_2019,humanresources_employee,NationalIDNumber,2,varchar,8.83,290,No,290,No,No
adventure_work_2019,humanresources_employee,LoginID,3,varchar,22.39,290,Yes,290,No,No
adventure_work_2019,humanresources_employee,OrganizationNode,4,varchar,8.48,289,No,290,Yes,No
adventure_work_2019,humanresources_employee,OrganizationLevel,5,smallint,1.0,4,No,290,Yes,No
adventure_work_2019,humanresources_employee,JobTitle,6,varchar,24.91,67,No,290,No,No
adventure_work_2019,humanresources_employee,BirthDate,7,date,10.0,275,No,290,No,No
adventure_work_2019,humanresources_employee,MaritalStatus,8,char,1.0,2,No,290,No,No
adventure_work_2019,humanresources_employee,Gender,9,char,1.0,2,No,290,No,No
