database,table,column,position,data_type,avg_length,cardinality,is_id/key_suffix,table_rows,is_nullable,is_all_null
musicbrainz_db,alternative_medium,id,1,integer,0.0,0,Yes,0,No,No
musicbrainz_db,alternative_medium,medium,2,integer,0.0,0,No,0,No,No
musicbrainz_db,alternative_medium,alternative_release,3,integer,0.0,0,No,0,No,No
musicbrainz_db,alternative_medium,name,4,character varying,0.0,0,No,0,Yes,No
musicbrainz_db,alternative_medium_track,alternative_medium,1,integer,0.0,0,No,0,No,No
musicbrainz_db,alternative_medium_track,track,2,integer,0.0,0,No,0,No,No
musicbrainz_db,alternative_medium_track,alternative_track,3,integer,0.0,0,No,0,No,No
musicbrainz_db,alternative_release,id,1,integer,0.0,0,Yes,0,No,No
musicbrainz_db,alternative_release,gid,2,uuid,0.0,0,Yes,0,No,No
musicbrainz_db,alternative_release,release,3,integer,0.0,0,No,0,No,No
musicbrainz_db,alternative_release,name,4,character varying,0.0,0,No,0,Yes,No
musicbrainz_db,alternative_release,artist_credit,5,integer,0.0,0,No,0,Yes,No
musicbrainz_db,alternative_release,type,6,integer,0.0,0,No,0,No,No
musicbrainz_db,alternative_release,language,7,integer,0.0,0,No,0,No,No
musicbrainz_db,alternative_release,script,8,integer,0.0,0,No,0,No,No
musicbrainz_db,alternative_release,comment,9,character varying,0.0,0,No,0,No,No
musicbrainz_db,alternative_release_type,id,1,integer,1.0,3,Yes,3,No,No
musicbrainz_db,alternative_release_type,name,2,text,16.67,3,No,3,No,No
musicbrainz_db,alternative_release_type,parent,3,integer,1.0,1,No,3,Yes,No
musicbrainz_db,alternative_release_type,child_order,4,integer,1.0,2,No,3,No,No
musicbrainz_db,alternative_release_type,description,5,text,0.0,1,No,3,Yes,No
musicbrainz_db,alternative_release_type,gid,6,uuid,36.0,3,Yes,3,No,No
musicbrainz_db,alternative_track,id,1,integer,0.0,0,Yes,0,No,No
musicbrainz_db,alternative_track,name,2,character varying,0.0,0,No,0,Yes,No
musicbrainz_db,alternative_track,artist_credit,3,integer,0.0,0,No,0,Yes,No
musicbrainz_db,alternative_track,ref_count,4,integer,0.0,0,No,0,No,No
musicbrainz_db,annotation,id,1,integer,6.06,81325,Yes,81325,No,No
musicbrainz_db,annotation,editor,2,integer,5.94,3298,No,81325,No,No
musicbrainz_db,annotation,text,3,text,368.74,56641,No,81325,Yes,No
musicbrainz_db,annotation,changelog,4,character varying,12.86,6701,No,81325,Yes,No
musicbrainz_db,annotation,created,5,timestamp with time zone,28.89,77646,No,81325,Yes,No
musicbrainz_db,application,id,1,integer,0.0,0,Yes,0,No,No
musicbrainz_db,application,owner,2,integer,0.0,0,No,0,No,No
musicbrainz_db,application,name,3,text,0.0,0,No,0,No,No
musicbrainz_db,application,oauth_id,4,text,0.0,0,Yes,0,No,No
musicbrainz_db,application,oauth_secret,5,text,0.0,0,No,0,No,No
musicbrainz_db,application,oauth_redirect_uri,6,text,0.0,0,No,0,Yes,No
musicbrainz_db,area,id,1,integer,4.95,17727,Yes,17727,No,No
musicbrainz_db,area,gid,2,uuid,36.0,17727,Yes,17727,No,No
musicbrainz_db,area,name,3,character varying,9.73,15981,No,17727,No,No
musicbrainz_db,area,type,4,integer,1.0,8,No,17727,Yes,No
musicbrainz_db,area,edits_pending,5,integer,1.0,1,No,17727,No,No
musicbrainz_db,area,last_updated,6,timestamp with time zone,28.89,17727,No,17727,Yes,No
musicbrainz_db,area,begin_date_year,7,smallint,4.0,13,No,17727,Yes,No
musicbrainz_db,area,begin_date_month,8,smallint,1.06,4,No,17727,Yes,No
musicbrainz_db,area,begin_date_day,9,smallint,1.19,3,No,17727,Yes,No
musicbrainz_db,area,end_date_year,10,smallint,4.0,11,No,17727,Yes,No
musicbrainz_db,area,end_date_month,11,smallint,1.13,2,No,17727,Yes,No
musicbrainz_db,area,end_date_day,12,smallint,1.13,3,No,17727,Yes,No
musicbrainz_db,area,ended,13,boolean,5.0,2,No,17727,No,No
musicbrainz_db,area,comment,14,character varying,0.03,36,No,17727,No,No
musicbrainz_db,area_alias,id,1,integer,4.67,18782,Yes,18782,No,No
musicbrainz_db,area_alias,area,2,integer,4.1,5862,No,18782,No,No
musicbrainz_db,area_alias,name,3,character varying,10.07,13579,No,18782,No,No
musicbrainz_db,area_alias,locale,4,text,2.07,121,No,18782,Yes,No
musicbrainz_db,area_alias,edits_pending,5,integer,1.0,1,No,18782,No,No
musicbrainz_db,area_alias,last_updated,6,timestamp with time zone,28.89,18730,No,18782,Yes,No
musicbrainz_db,area_alias,type,7,integer,1.0,3,No,18782,Yes,No
musicbrainz_db,area_alias,sort_name,8,character varying,10.08,13581,No,18782,No,No
musicbrainz_db,area_alias,begin_date_year,9,smallint,4.0,17,No,18782,Yes,No
musicbrainz_db,area_alias,begin_date_month,10,smallint,1.0,2,No,18782,Yes,No
musicbrainz_db,area_alias,begin_date_day,11,smallint,1.75,2,No,18782,Yes,No
musicbrainz_db,area_alias,end_date_year,12,smallint,4.0,22,No,18782,Yes,No
musicbrainz_db,area_alias,end_date_month,13,smallint,1.62,5,No,18782,Yes,No
musicbrainz_db,area_alias,end_date_day,14,smallint,1.9,5,No,18782,Yes,No
