database,table,column,position,data_type,avg_length,cardinality,is_id/key_suffix,table_rows,is_nullable,is_all_null
NorthWind,Alphabetical list of products,ProductID,1,int,1.0,69,Yes,69,No,No
NorthWind,Alphabetical list of products,ProductName,2,nvarchar,16.0,69,No,69,No,No
NorthWind,Alphabetical list of products,SupplierID,3,int,1.0,28,Yes,69,Yes,No
NorthWind,Alphabetical list of products,CategoryID,4,int,1.0,8,Yes,69,Yes,No
NorthWind,Alphabetical list of products,QuantityPerUnit,5,nvarchar,14.0,62,No,69,Yes,No
NorthWind,Alphabetical list of products,UnitPrice,6,money,4.0,55,No,69,Yes,No
NorthWind,Alphabetical list of products,UnitsInStock,7,smallint,2.0,51,No,69,Yes,No
NorthWind,Alphabetical list of products,UnitsOnOrder,8,smallint,1.0,10,No,69,Yes,No
NorthWind,Alphabetical list of products,ReorderLevel,9,smallint,1.0,7,No,69,Yes,No
NorthWind,Alphabetical list of products,Discontinued,10,bit,1.0,1,No,69,No,No
NorthWind,Alphabetical list of products,CategoryName,11,nvarchar,10.0,8,No,69,No,No
NorthWind,Categories,CategoryID,1,int,1.0,8,Yes,8,No,No
NorthWind,Categories,CategoryName,2,nvarchar,10.0,8,No,8,No,No
NorthWind,Category Sales for 1997,CategoryName,1,nvarchar,10.0,8,No,8,No,No
NorthWind,Category Sales for 1997,CategorySales,2,money,8.0,8,No,8,Yes,No
NorthWind,Current Product List,ProductID,1,int,1.0,69,Yes,69,No,No
NorthWind,Current Product List,ProductName,2,nvarchar,16.0,69,No,69,No,No
NorthWind,Customer and Suppliers by City,City,1,nvarchar,7.0,93,No,120,Yes,No
NorthWind,Customer and Suppliers by City,CompanyName,2,nvarchar,18.0,120,No,120,No,No
NorthWind,Customer and Suppliers by City,ContactName,3,nvarchar,13.0,120,No,120,Yes,No
NorthWind,Customer and Suppliers by City,Relationship,4,varchar,9.0,2,No,120,No,No
NorthWind,CustomerCustomerDemo,CustomerID,1,nchar,0.0,0,Yes,0,No,No
NorthWind,CustomerCustomerDemo,CustomerTypeID,2,nchar,0.0,0,Yes,0,No,No
NorthWind,CustomerDemographics,CustomerTypeID,1,nchar,0.0,0,Yes,0,No,No
NorthWind,Customers,CustomerID,1,nchar,5.0,91,Yes,91,No,No
NorthWind,Customers,CompanyName,2,nvarchar,18.0,91,No,91,No,No
NorthWind,Customers,ContactName,3,nvarchar,13.0,91,No,91,Yes,No
NorthWind,Customers,ContactTitle,4,nvarchar,14.0,12,No,91,Yes,No
NorthWind,Customers,Address,5,nvarchar,18.0,91,No,91,Yes,No
NorthWind,Customers,City,6,nvarchar,8.0,69,No,91,Yes,No
NorthWind,Customers,Region,7,nvarchar,3.0,18,No,91,Yes,No
NorthWind,Customers,PostalCode,8,nvarchar,5.0,86,No,91,Yes,No
NorthWind,Customers,Country,9,nvarchar,5.0,21,No,91,Yes,No
NorthWind,Customers,Phone,10,nvarchar,12.0,91,No,91,Yes,No
NorthWind,Customers,Fax,11,nvarchar,12.0,69,No,91,Yes,No
NorthWind,Employees,EmployeeID,1,int,1.0,9,Yes,9,No,No
NorthWind,Employees,LastName,2,nvarchar,7.0,9,No,9,No,No
NorthWind,Employees,FirstName,3,nvarchar,5.0,9,No,9,No,No
NorthWind,Employees,Title,4,nvarchar,19.0,4,No,9,Yes,No
NorthWind,Employees,TitleOfCourtesy,5,nvarchar,3.0,4,No,9,Yes,No
NorthWind,Employees,BirthDate,6,datetime,18.0,9,No,9,Yes,No
NorthWind,Employees,HireDate,7,datetime,18.0,8,No,9,Yes,No
NorthWind,Employees,Address,8,nvarchar,20.0,9,No,9,Yes,No
NorthWind,Employees,City,9,nvarchar,6.0,5,No,9,Yes,No
NorthWind,Employees,Region,10,nvarchar,2.0,1,No,9,Yes,No
NorthWind,Employees,PostalCode,11,nvarchar,5.0,9,No,9,Yes,No
NorthWind,Employees,Country,12,nvarchar,2.0,2,No,9,Yes,No
NorthWind,Employees,HomePhone,13,nvarchar,13.0,9,No,9,Yes,No
NorthWind,Employees,Extension,14,nvarchar,3.0,9,No,9,Yes,No
NorthWind,Employees,ReportsTo,17,int,1.0,2,No,9,Yes,No
NorthWind,Employees,PhotoPath,18,nvarchar,36.0,5,No,9,Yes,No
NorthWind,EmployeeTerritories,EmployeeID,1,int,1.0,9,Yes,49,No,No
NorthWind,EmployeeTerritories,TerritoryID,2,nvarchar,5.0,49,Yes,49,No,No
NorthWind,Invoices,ShipName,1,nvarchar,17.0,90,No,2155,Yes,No
NorthWind,Invoices,ShipAddress,2,nvarchar,17.0,89,No,2155,Yes,No
NorthWind,Invoices,ShipCity,3,nvarchar,8.0,70,No,2155,Yes,No
NorthWind,Invoices,ShipRegion,4,nvarchar,3.0,19,No,2155,Yes,No
NorthWind,Invoices,ShipPostalCode,5,nvarchar,5.0,84,No,2155,Yes,No
NorthWind,Invoices,ShipCountry,6,nvarchar,5.0,21,No,2155,Yes,No
NorthWind,Invoices,CustomerID,7,nchar,5.0,89,Yes,2155,Yes,No
NorthWind,Invoices,CustomerName,8,nvarchar,17.0,89,No,2155,No,No
NorthWind,Invoices,Address,9,nvarchar,17.0,89,No,2155,Yes,No
NorthWind,Invoices,City,10,nvarchar,7.0,69,No,2155,Yes,No
NorthWind,Invoices,Region,11,nvarchar,3.0,18,No,2155,Yes,No
NorthWind,Invoices,PostalCode,12,nvarchar,5.0,84,No,2155,Yes,No
NorthWind,Invoices,Country,13,nvarchar,5.0,21,No,2155,Yes,No
