database,table,column,position,data_type,avg_length,cardinality,is_id/key_suffix,table_rows,is_nullable,is_all_null
WideWorldImporters,BuyingGroups,BuyingGroupID,1,int,1.0,2,Yes,2,No,No
WideWorldImporters,BuyingGroups,BuyingGroupName,2,nvarchar,12.0,2,No,2,No,No
WideWorldImporters,BuyingGroups,LastEditedBy,3,int,1.0,1,No,2,No,No
WideWorldImporters,BuyingGroups,ValidFrom,4,datetime2,27.0,1,No,2,No,No
WideWorldImporters,BuyingGroups,ValidTo,5,datetime2,27.0,1,No,2,No,No
WideWorldImporters,BuyingGroups_Archive,BuyingGroupID,1,int,0.0,0,Yes,0,No,No
WideWorldImporters,BuyingGroups_Archive,BuyingGroupName,2,nvarchar,0.0,0,No,0,No,No
WideWorldImporters,BuyingGroups_Archive,LastEditedBy,3,int,0.0,0,No,0,No,No
WideWorldImporters,BuyingGroups_Archive,ValidFrom,4,datetime2,0.0,0,No,0,No,No
WideWorldImporters,BuyingGroups_Archive,ValidTo,5,datetime2,0.0,0,No,0,No,No
WideWorldImporters,Cities,CityID,1,int,4.0,37940,Yes,37940,No,No
WideWorldImporters,Cities,CityName,2,nvarchar,8.0,23272,No,37940,No,No
WideWorldImporters,Cities,StateProvinceID,3,int,1.0,53,Yes,37940,No,No
WideWorldImporters,Cities,Location,4,geography,0.0,0,No,37940,Yes,No
WideWorldImporters,Cities,LatestRecordedPopulation,5,bigint,3.0,9324,No,37940,Yes,No
WideWorldImporters,Cities,LastEditedBy,6,int,1.0,4,No,37940,No,No
WideWorldImporters,Cities,ValidFrom,7,datetime2,27.0,4,No,37940,No,No
WideWorldImporters,Cities,ValidTo,8,datetime2,27.0,1,No,37940,No,No
WideWorldImporters,Cities_Archive,CityID,1,int,4.0,28,Yes,28,No,No
WideWorldImporters,Cities_Archive,CityName,2,nvarchar,9.0,28,No,28,No,No
WideWorldImporters,Cities_Archive,StateProvinceID,3,int,1.0,25,Yes,28,No,No
WideWorldImporters,Cities_Archive,Location,4,geography,0.0,0,No,28,Yes,No
WideWorldImporters,Cities_Archive,LatestRecordedPopulation,5,bigint,3.0,17,No,28,Yes,No
WideWorldImporters,Cities_Archive,LastEditedBy,6,int,1.0,1,No,28,No,No
WideWorldImporters,Cities_Archive,ValidFrom,7,datetime2,27.0,1,No,28,No,No
WideWorldImporters,Cities_Archive,ValidTo,8,datetime2,27.0,3,No,28,No,No
WideWorldImporters,ColdRoomTemperatures,ColdRoomTemperatureID,1,bigint,7.0,4,Yes,4,No,No
WideWorldImporters,ColdRoomTemperatures,ColdRoomSensorNumber,2,int,1.0,4,No,4,No,No
WideWorldImporters,ColdRoomTemperatures,RecordedWhen,3,datetime2,27.0,1,No,4,No,No
WideWorldImporters,ColdRoomTemperatures,Temperature,4,decimal,4.0,4,No,4,No,No
WideWorldImporters,ColdRoomTemperatures,ValidFrom,5,datetime2,27.0,1,No,4,No,No
WideWorldImporters,ColdRoomTemperatures,ValidTo,6,datetime2,27.0,1,No,4,No,No
WideWorldImporters,ColdRoomTemperatures_Archive,ColdRoomTemperatureID,1,bigint,6.0,3654736,Yes,3654736,No,No
WideWorldImporters,ColdRoomTemperatures_Archive,ColdRoomSensorNumber,2,int,1.0,4,No,3654736,No,No
WideWorldImporters,ColdRoomTemperatures_Archive,RecordedWhen,3,datetime2,27.0,913684,No,3654736,No,No
WideWorldImporters,ColdRoomTemperatures_Archive,Temperature,4,decimal,4.0,201,No,3654736,No,No
WideWorldImporters,ColdRoomTemperatures_Archive,ValidFrom,5,datetime2,27.0,913684,No,3654736,No,No
WideWorldImporters,ColdRoomTemperatures_Archive,ValidTo,6,datetime2,27.0,913684,No,3654736,No,No
