,Unnamed: 0,Table_A,Column_A,Table_B,Column_B,label,result
0,0,InvoiceLines,StockItemID,StockItems,StockItemID,1,1
1,1,Suppliers,AlternateContactPersonID,People,PersonID,1,1
2,2,StockItems_Archive,LastEditedBy,InvoiceLines,InvoiceLineID,0,0
3,3,Customers_Archive,LastEditedBy,StockItemTransactions,StockItemTransactionID,0,0
4,4,BuyingGroups,LastEditedBy,SupplierCategories_Archive,LastEditedBy,0,0
5,5,StockItems,ColorID,Colors,ColorID,1,1
6,6,Invoices,DeliveryMethodID,DeliveryMethods,DeliveryMethodID,1,1
7,7,PurchaseOrders,SupplierID,Suppliers,SupplierID,1,1
8,8,Colors_Archive,LastEditedBy,SpecialDeals,SpecialDealID,0,0
9,9,SystemParameters,LastEditedBy,DeliveryMethods_Archive,LastEditedBy,0,0
10,10,ColdRoomTemperatures_Archive,ColdRoomSensorNumber,PackageTypes,PackageTypeID,0,0
11,11,StockItems,ColorID,InvoiceLines,InvoiceLineID,0,0
12,12,Orders,CustomerID,Customers,CustomerID,1,1
13,13,PaymentMethods_Archive,PaymentMethodID,Orders,OrderID,0,0
14,14,Orders,SalespersonPersonID,People,PersonID,1,1
15,15,StockItemStockGroups,LastEditedBy,People,PersonID,1,1
16,16,Customers,CustomerCategoryID,CustomerCategories,CustomerCategoryID,1,1
17,17,StockItemStockGroups,StockGroupID,StockGroups,StockGroupID,1,1
18,18,CustomerTransactions,TransactionTypeID,TransactionTypes,TransactionTypeID,1,1
19,19,PaymentMethods,LastEditedBy,People,PersonID,1,1
20,20,Suppliers_Archive,DeliveryCityID,OrderLines,OrderLineID,0,0
21,21,CustomerTransactions,PaymentMethodID,Suppliers_Archive,SupplierID,0,0
22,22,Suppliers_Archive,DeliveryCityID,InvoiceLines,InvoiceLineID,0,0
23,23,Suppliers,LastEditedBy,People,PersonID,1,1
24,24,StockItemStockGroups,StockItemID,StockItems,StockItemID,1,1
25,25,Customers_Archive,PaymentDays,StockItems,StockItemID,0,0
26,26,Customers,DeliveryCityID,Cities,CityID,1,1
27,27,PurchaseOrderLines,LastEditedBy,People,PersonID,1,1
28,28,Customers_Archive,RunPosition,SpecialDeals,DealDescription,0,0
29,29,People_Archive,LastEditedBy,Countries,CountryID,0,0
30,30,Invoices,SalespersonPersonID,People,PersonID,1,1
31,31,InvoiceLines,InvoiceID,Invoices,InvoiceID,1,1
32,32,StateProvinces_Archive,LastEditedBy,PurchaseOrders,PurchaseOrderID,0,0
33,33,OrderLines,StockItemID,Invoices,OrderID,0,0
34,34,Customers,LastEditedBy,People,PersonID,1,1
35,35,StockItemTransactions,StockItemID,StockItems,StockItemID,1,1
36,36,Customers,RunPosition,SystemParameters,DeliveryAddressLine1,0,0
37,37,Customers,BuyingGroupID,BuyingGroups,BuyingGroupID,1,1
38,38,Invoices,AccountsPersonID,People,PersonID,1,1
39,39,StockItemHoldings,StockItemID,StockItems,StockItemID,1,1
40,40,Invoices,CustomerID,Customers,CustomerID,1,1
41,41,InvoiceLines,LastEditedBy,People,PersonID,1,1
42,42,Colors_Archive,ValidFrom,DeliveryMethods_Archive,ValidFrom,0,0
43,43,DeliveryMethods,LastEditedBy,People,PersonID,1,1
44,44,Customers_Archive,RunPosition,SupplierCategories,SupplierCategoryName,0,0
45,45,StockGroups,StockGroupID,PurchaseOrderLines,PurchaseOrderLineID,0,0
46,46,Invoices,LastEditedBy,StockItemStockGroups,StockItemStockGroupID,0,0
47,47,CustomerTransactions,InvoiceID,Invoices,InvoiceID,1,1
48,48,Cities_Archive,ValidFrom,Colors_Archive,ValidFrom,0,0
49,49,StateProvinces_Archive,LastEditedBy,Cities,CityID,0,0
50,50,StockItemTransactions,PurchaseOrderID,PurchaseOrders,PurchaseOrderID,1,1
51,51,Suppliers_Archive,DeliveryMethodID,Orders,OrderID,0,0
52,52,SupplierTransactions,PurchaseOrderID,PurchaseOrders,PurchaseOrderID,1,1
53,53,PaymentMethods,LastEditedBy,PurchaseOrderLines,PurchaseOrderLineID,0,0
54,54,PurchaseOrderLines,StockItemID,StockItems,StockItemID,1,1
55,55,PurchaseOrderLines,StockItemID,Orders,OrderID,0,0
56,56,BuyingGroups,ValidFrom,Colors_Archive,ValidFrom,0,0
57,57,Colors,LastEditedBy,People,PersonID,1,1
58,58,Customers,RunPosition,SystemParameters,DeliveryPostalCode,0,0
59,59,BuyingGroups,LastEditedBy,People,PersonID,1,1
60,60,Colors_Archive,LastEditedBy,StockItems,StockItemID,0,0
61,61,Customers,DeliveryRun,TransactionTypes_Archive,TransactionTypeName,0,0
62,62,Colors_Archive,ColorID,OrderLines,OrderLineID,0,0
63,63,StockItemTransactions,InvoiceID,Invoices,InvoiceID,1,1
64,64,Suppliers,PostalCityID,Cities,CityID,1,1
65,65,PackageTypes,LastEditedBy,StockItems,StockItemID,0,0
66,66,Suppliers,SupplierCategoryID,SupplierCategories,SupplierCategoryID,1,1
