,Unnamed: 0,Table_A,Column_A,Table_B,Column_B,label,result
0,0,person_personphone,PhoneNumberTypeID,person_phonenumbertype,PhoneNumberTypeID,1,1
1,1,sales_countryregioncurrency,CurrencyCode,sales_currency,CurrencyCode,1,1
2,2,purchasing_purchaseorderheader,ShipMethodID,person_emailaddress,EmailAddressID,0,0
3,3,person_emailaddress,BusinessEntityID,person_person,BusinessEntityID,1,1
4,4,production_product,SizeUnitMeasureCode,production_unitmeasure,UnitMeasureCode,1,1
5,5,sales_shoppingcartitem,ProductID,production_product,ProductID,1,1
6,6,production_productreview,ProductReviewID,person_businessentity,BusinessEntityID,0,0
7,7,production_productreview,Rating,sales_specialoffer,SpecialOfferID,0,0
8,8,sales_specialofferproduct,SpecialOfferID,purchasing_purchaseorderdetail,PurchaseOrderDetailID,0,0
9,9,humanresources_jobcandidate,JobCandidateID,production_productmodel,ProductModelID,0,0
10,10,sales_customer,TerritoryID,sales_salesterritory,TerritoryID,1,1
11,11,production_billofmaterials,ComponentID,person_address,AddressID,0,0
12,12,purchasing_productvendor,ProductID,production_product,ProductID,1,1
13,13,sales_shoppingcartitem,Quantity,sales_salesreason,SalesReasonID,0,0
14,14,person_businessentitycontact,ContactTypeID,person_contacttype,ContactTypeID,1,1
15,15,person_businessentitycontact,ContactTypeID,sales_personcreditcard,CreditCardID,0,0
16,16,production_illustration,IllustrationID,sales_salestaxrate,SalesTaxRateID,0,0
17,17,person_businessentityaddress,BusinessEntityID,person_businessentity,BusinessEntityID,1,1
18,18,sales_salespersonquotahistory,BusinessEntityID,sales_salesperson,BusinessEntityID,1,1
19,19,sales_salesorderheader,CurrencyRateID,sales_personcreditcard,CreditCardID,0,0
20,20,purchasing_purchaseorderheader,EmployeeID,humanresources_employee,BusinessEntityID,1,1
21,21,sales_personcreditcard,BusinessEntityID,person_person,BusinessEntityID,1,1
22,22,purchasing_productvendor,UnitMeasureCode,production_unitmeasure,UnitMeasureCode,1,1
23,23,purchasing_purchaseorderdetail,PurchaseOrderDetailID,person_businessentity,BusinessEntityID,0,0
24,24,purchasing_purchaseorderdetail,ProductID,purchasing_purchaseorderheader,PurchaseOrderID,0,0
25,25,sales_customer,TerritoryID,production_productmodel,ProductModelID,0,0
26,26,person_businessentityaddress,AddressTypeID,purchasing_purchaseorderheader,PurchaseOrderID,0,0
27,27,purchasing_purchaseorderdetail,PurchaseOrderID,purchasing_purchaseorderheader,PurchaseOrderID,1,1
28,28,production_productmodelillustration,IllustrationID,humanresources_jobcandidate,JobCandidateID,0,0
29,29,production_productproductphoto,ProductID,production_product,ProductID,1,1
30,30,person_businessentitycontact,PersonID,person_person,BusinessEntityID,1,0
31,31,person_address,StateProvinceID,humanresources_employee,BusinessEntityID,0,0
32,32,production_product,ProductModelID,sales_customer,CustomerID,0,0
33,33,person_stateprovince,TerritoryID,sales_salesterritory,TerritoryID,1,1
34,34,sales_salesorderheader,ShipToAddressID,person_address,AddressID,1,1
35,35,sales_customer,StoreID,sales_store,BusinessEntityID,1,0
36,36,sales_salesorderheader,CreditCardID,production_workorder,WorkOrderID,0,0
37,37,production_productmodelillustration,IllustrationID,production_billofmaterials,BillOfMaterialsID,0,0
38,38,purchasing_purchaseorderheader,ShipMethodID,humanresources_employee,BusinessEntityID,0,0
39,39,production_productmodelillustration,ProductModelID,purchasing_purchaseorderheader,PurchaseOrderID,0,0
40,40,production_billofmaterials,ProductAssemblyID,production_product,ProductID,1,1
41,41,sales_salesorderheader,TerritoryID,production_productsubcategory,ProductSubcategoryID,0,0
42,42,sales_salesorderheader,CreditCardID,sales_creditcard,CreditCardID,1,1
43,43,purchasing_purchaseorderdetail,ProductID,production_product,ProductID,1,1
44,44,sales_specialofferproduct,SpecialOfferID,person_businessentity,BusinessEntityID,0,0
45,45,production_productmodelproductdescriptionculture,ProductDescriptionID,production_productdescription,ProductDescriptionID,1,1
46,46,production_productsubcategory,ProductSubcategoryID,production_workorder,WorkOrderID,0,0
47,47,production_product,ProductModelID,person_emailaddress,BusinessEntityID,0,0
48,48,production_productreview,ProductReviewID,humanresources_employee,BusinessEntityID,0,0
49,49,sales_currencyrate,FromCurrencyCode,sales_currency,CurrencyCode,1,1
50,50,sales_countryregioncurrency,CountryRegionCode,person_countryregion,CountryRegionCode,1,1
51,51,production_productmodelproductdescriptionculture,ProductModelID,production_productmodel,ProductModelID,1,1
52,52,sales_customer,PersonID,person_person,BusinessEntityID,1,1
53,53,sales_specialoffer,SpecialOfferID,sales_creditcard,CreditCardID,0,0
54,54,production_productreview,ProductReviewID,production_transactionhistoryarchive,TransactionID,0,0
55,55,humanresources_employeepayhistory,BusinessEntityID,sales_customer,CustomerID,0,0
56,56,production_productdocument,DocumentNode,production_document,DocumentNode,1,1
57,57,purchasing_vendor,BusinessEntityID,person_businessentity,BusinessEntityID,1,0
58,58,purchasing_purchaseorderheader,PurchaseOrderID,person_emailaddress,EmailAddressID,0,0
59,59,production_productreview,ProductID,production_product,ProductID,1,1
60,60,sales_currencyrate,CurrencyRateID,sales_creditcard,CreditCardID,0,0
61,61,person_personphone,PhoneNumberTypeID,purchasing_purchaseorderdetail,PurchaseOrderDetailID,0,0
62,62,sales_personcreditcard,CreditCardID,sales_creditcard,CreditCardID,1,1
63,63,person_contacttype,ContactTypeID,person_businessentityaddress,AddressID,0,0
64,64,sales_salesperson,TerritoryID,sales_salesterritory,TerritoryID,1,1
65,65,production_product,ProductModelID,production_productmodel,ProductModelID,1,1
66,66,sales_specialofferproduct,ProductID,production_product,ProductID,1,1
67,67,sales_shoppingcartitem,ProductID,production_transactionhistoryarchive,TransactionID,0,0
68,68,sales_salesterritoryhistory,BusinessEntityID,sales_salesperson,BusinessEntityID,1,1
69,69,humanresources_employeepayhistory,BusinessEntityID,humanresources_employee,BusinessEntityID,1,1
70,70,production_productlistpricehistory,ProductID,dbo_databaselog,DatabaseLogID,0,0
71,71,person_businessentityaddress,AddressTypeID,person_person,BusinessEntityID,0,0
72,72,production_workorder,ScrapReasonID,production_scrapreason,ScrapReasonID,1,1
73,73,production_productlistpricehistory,ProductID,production_product,ProductID,1,1
74,74,production_productmodelproductdescriptionculture,ProductModelID,sales_personcreditcard,CreditCardID,0,0
75,75,production_illustration,IllustrationID,person_emailaddress,EmailAddressID,0,0
76,76,sales_salesterritory,CountryRegionCode,person_countryregion,CountryRegionCode,1,1
77,77,production_illustration,IllustrationID,humanresources_employee,BusinessEntityID,0,0
78,78,sales_customer,StoreID,production_workorder,WorkOrderID,0,0
79,79,humanresources_employeedepartmenthistory,ShiftID,humanresources_shift,ShiftID,1,1
80,80,humanresources_employeedepartmenthistory,DepartmentID,humanresources_department,DepartmentID,1,0
81,81,sales_salesorderheader,ShipMethodID,dbo_databaselog,DatabaseLogID,0,0
82,82,production_transactionhistory,ProductID,production_product,ProductID,1,1
83,83,sales_salesorderheader,SalesPersonID,sales_salesperson,BusinessEntityID,1,1
84,84,production_productcosthistory,ProductID,sales_personcreditcard,CreditCardID,0,0
85,85,sales_salesorderheader,ShipMethodID,purchasing_shipmethod,ShipMethodID,1,1
86,86,production_workorderrouting,LocationID,production_location,LocationID,1,1
87,87,production_productreview,ProductID,person_businessentityaddress,AddressID,0,0
88,88,sales_salesorderdetail,SalesOrderID,sales_salesorderheader,SalesOrderID,1,1
89,89,production_workorder,ProductID,production_product,ProductID,1,1
90,90,production_productdocument,ProductID,production_product,ProductID,1,1
91,91,production_productmodelproductdescriptionculture,CultureID,production_culture,CultureID,1,1
92,92,person_businessentityaddress,AddressTypeID,sales_salesorderdetail,SalesOrderDetailID,0,0
93,93,purchasing_purchaseorderheader,VendorID,purchasing_vendor,BusinessEntityID,1,1
94,94,purchasing_purchaseorderdetail,PurchaseOrderDetailID,production_workorder,WorkOrderID,0,0
95,95,sales_salesperson,TerritoryID,purchasing_purchaseorderheader,PurchaseOrderID,0,0
96,96,production_productlistpricehistory,ProductID,production_productproductphoto,ProductID,0,0
97,97,sales_salesterritoryhistory,TerritoryID,sales_salesterritory,TerritoryID,1,1
98,98,production_productreview,Rating,purchasing_purchaseorderheader,PurchaseOrderID,0,0
99,99,purchasing_purchaseorderheader,PurchaseOrderID,production_transactionhistoryarchive,TransactionID,0,0
100,100,production_productproductphoto,ProductID,purchasing_purchaseorderheader,PurchaseOrderID,0,0
101,101,production_billofmaterials,ComponentID,production_product,ProductID,1,1
102,102,person_businessentityaddress,AddressID,person_address,AddressID,1,1
103,103,person_businessentitycontact,BusinessEntityID,person_businessentity,BusinessEntityID,1,1
104,104,production_transactionhistoryarchive,Quantity,sales_salesorderdetail,SalesOrderDetailID,0,0
105,105,production_productsubcategory,ProductCategoryID,sales_salesterritory,TerritoryID,0,0
106,106,production_productsubcategory,ProductCategoryID,purchasing_purchaseorderdetail,PurchaseOrderDetailID,0,0
107,107,sales_salesorderheader,BillToAddressID,person_address,AddressID,1,1
108,108,production_transactionhistory,ProductID,person_address,AddressID,0,0
109,109,production_productreview,Rating,person_stateprovince,StateProvinceID,0,0
110,110,production_productmodel,ProductModelID,production_transactionhistoryarchive,TransactionID,0,0
111,111,humanresources_employee,BusinessEntityID,sales_personcreditcard,CreditCardID,0,0
112,112,sales_currencyrate,ToCurrencyCode,sales_currency,CurrencyCode,1,1
113,113,sales_store,BusinessEntityID,person_businessentity,BusinessEntityID,1,0
114,114,purchasing_productvendor,BusinessEntityID,sales_creditcard,CreditCardID,0,0
