Table_A,Column_A,Table_B,Column_B,label,result
person_personphone,PhoneNumberTypeID,person_phonenumbertype,PhoneNumberTypeID,1,1
sales_countryregioncurrency,CurrencyCode,sales_currency,CurrencyCode,1,1
purchasing_purchaseorderheader,ShipMethodID,person_emailaddress,EmailAddressID,0,0
person_emailaddress,BusinessEntityID,person_person,BusinessEntityID,1,1
production_product,SizeUnitMeasureCode,production_unitmeasure,UnitMeasureCode,1,1
sales_shoppingcartitem,ProductID,production_product,ProductID,1,0
production_productreview,ProductReviewID,person_businessentity,BusinessEntityID,0,0
production_productreview,Rating,sales_specialoffer,SpecialOfferID,0,0
sales_specialofferproduct,SpecialOfferID,purchasing_purchaseorderdetail,PurchaseOrderDetailID,0,0
humanresources_jobcandidate,JobCandidateID,production_productmodel,ProductModelID,0,1
sales_customer,TerritoryID,sales_salesterritory,TerritoryID,1,1
production_billofmaterials,ComponentID,person_address,AddressID,0,0
purchasing_productvendor,ProductID,production_product,ProductID,1,0
sales_shoppingcartitem,Quantity,sales_salesreason,SalesReasonID,0,0
person_businessentitycontact,ContactTypeID,person_contacttype,ContactTypeID,1,1
person_businessentitycontact,ContactTypeID,sales_personcreditcard,CreditCardID,0,0
production_illustration,IllustrationID,sales_salestaxrate,SalesTaxRateID,0,1
person_businessentityaddress,BusinessEntityID,person_businessentity,BusinessEntityID,1,0
sales_salespersonquotahistory,BusinessEntityID,sales_salesperson,BusinessEntityID,1,0
sales_salesorderheader,CurrencyRateID,sales_personcreditcard,CreditCardID,0,0
purchasing_purchaseorderheader,EmployeeID,humanresources_employee,BusinessEntityID,1,0
sales_personcreditcard,BusinessEntityID,person_person,BusinessEntityID,1,0
purchasing_productvendor,UnitMeasureCode,production_unitmeasure,UnitMeasureCode,1,0
purchasing_purchaseorderdetail,PurchaseOrderDetailID,person_businessentity,BusinessEntityID,0,0
purchasing_purchaseorderdetail,ProductID,purchasing_purchaseorderheader,PurchaseOrderID,0,0
sales_customer,TerritoryID,production_productmodel,ProductModelID,0,0
person_businessentityaddress,AddressTypeID,purchasing_purchaseorderheader,PurchaseOrderID,0,0
purchasing_purchaseorderdetail,PurchaseOrderID,purchasing_purchaseorderheader,PurchaseOrderID,1,1
production_productmodelillustration,IllustrationID,humanresources_jobcandidate,JobCandidateID,0,0
production_productproductphoto,ProductID,production_product,ProductID,1,0
person_businessentitycontact,PersonID,person_person,BusinessEntityID,1,0
person_address,StateProvinceID,humanresources_employee,BusinessEntityID,0,0
production_product,ProductModelID,sales_customer,CustomerID,0,0
person_stateprovince,TerritoryID,sales_salesterritory,TerritoryID,1,0
sales_salesorderheader,ShipToAddressID,person_address,AddressID,1,0
sales_customer,StoreID,sales_store,BusinessEntityID,1,0
sales_salesorderheader,CreditCardID,production_workorder,WorkOrderID,0,0
production_productmodelillustration,IllustrationID,production_billofmaterials,BillOfMaterialsID,0,0
purchasing_purchaseorderheader,ShipMethodID,humanresources_employee,BusinessEntityID,0,0
production_productmodelillustration,ProductModelID,purchasing_purchaseorderheader,PurchaseOrderID,0,0
production_billofmaterials,ProductAssemblyID,production_product,ProductID,1,0
sales_salesorderheader,TerritoryID,production_productsubcategory,ProductSubcategoryID,0,0
sales_salesorderheader,CreditCardID,sales_creditcard,CreditCardID,1,0
purchasing_purchaseorderdetail,ProductID,production_product,ProductID,1,0
sales_specialofferproduct,SpecialOfferID,person_businessentity,BusinessEntityID,0,0
production_productmodelproductdescriptionculture,ProductDescriptionID,production_productdescription,ProductDescriptionID,1,0
production_productsubcategory,ProductSubcategoryID,production_workorder,WorkOrderID,0,0
production_product,ProductModelID,person_emailaddress,BusinessEntityID,0,0
production_productreview,ProductReviewID,humanresources_employee,BusinessEntityID,0,0
sales_currencyrate,FromCurrencyCode,sales_currency,CurrencyCode,1,0
sales_countryregioncurrency,CountryRegionCode,person_countryregion,CountryRegionCode,1,0
production_productmodelproductdescriptionculture,ProductModelID,production_productmodel,ProductModelID,1,0
sales_customer,PersonID,person_person,BusinessEntityID,1,0
sales_specialoffer,SpecialOfferID,sales_creditcard,CreditCardID,0,0
production_productreview,ProductReviewID,production_transactionhistoryarchive,TransactionID,0,0
humanresources_employeepayhistory,BusinessEntityID,sales_customer,CustomerID,0,1
production_productdocument,DocumentNode,production_document,DocumentNode,1,0
purchasing_vendor,BusinessEntityID,person_businessentity,BusinessEntityID,1,0
purchasing_purchaseorderheader,PurchaseOrderID,person_emailaddress,EmailAddressID,0,0
production_productreview,ProductID,production_product,ProductID,1,0
sales_currencyrate,CurrencyRateID,sales_creditcard,CreditCardID,0,0
person_personphone,PhoneNumberTypeID,purchasing_purchaseorderdetail,PurchaseOrderDetailID,0,0
sales_personcreditcard,CreditCardID,sales_creditcard,CreditCardID,1,0
person_contacttype,ContactTypeID,person_businessentityaddress,AddressID,0,0
sales_salesperson,TerritoryID,sales_salesterritory,TerritoryID,1,1
production_product,ProductModelID,production_productmodel,ProductModelID,1,1
sales_specialofferproduct,ProductID,production_product,ProductID,1,0
sales_shoppingcartitem,ProductID,production_transactionhistoryarchive,TransactionID,0,0
sales_salesterritoryhistory,BusinessEntityID,sales_salesperson,BusinessEntityID,1,0
humanresources_employeepayhistory,BusinessEntityID,humanresources_employee,BusinessEntityID,1,0
production_productlistpricehistory,ProductID,dbo_databaselog,DatabaseLogID,0,0
person_businessentityaddress,AddressTypeID,person_person,BusinessEntityID,0,0
production_workorder,ScrapReasonID,production_scrapreason,ScrapReasonID,1,0
production_productlistpricehistory,ProductID,production_product,ProductID,1,0
production_productmodelproductdescriptionculture,ProductModelID,sales_personcreditcard,CreditCardID,0,0
production_illustration,IllustrationID,person_emailaddress,EmailAddressID,0,0
sales_salesterritory,CountryRegionCode,person_countryregion,CountryRegionCode,1,0
production_illustration,IllustrationID,humanresources_employee,BusinessEntityID,0,0
sales_customer,StoreID,production_workorder,WorkOrderID,0,0
humanresources_employeedepartmenthistory,ShiftID,humanresources_shift,ShiftID,1,1
humanresources_employeedepartmenthistory,DepartmentID,humanresources_department,DepartmentID,1,0
sales_salesorderheader,ShipMethodID,dbo_databaselog,DatabaseLogID,0,0
production_transactionhistory,ProductID,production_product,ProductID,1,0
sales_salesorderheader,SalesPersonID,sales_salesperson,BusinessEntityID,1,1
production_productcosthistory,ProductID,sales_personcreditcard,CreditCardID,0,0
sales_salesorderheader,ShipMethodID,purchasing_shipmethod,ShipMethodID,1,0
production_workorderrouting,LocationID,production_location,LocationID,1,0
production_productreview,ProductID,person_businessentityaddress,AddressID,0,0
sales_salesorderdetail,SalesOrderID,sales_salesorderheader,SalesOrderID,1,1
production_workorder,ProductID,production_product,ProductID,1,0
production_productdocument,ProductID,production_product,ProductID,1,0
production_productmodelproductdescriptionculture,CultureID,production_culture,CultureID,1,0
person_businessentityaddress,AddressTypeID,sales_salesorderdetail,SalesOrderDetailID,0,0
purchasing_purchaseorderheader,VendorID,purchasing_vendor,BusinessEntityID,1,1
purchasing_purchaseorderdetail,PurchaseOrderDetailID,production_workorder,WorkOrderID,0,0
sales_salesperson,TerritoryID,purchasing_purchaseorderheader,PurchaseOrderID,0,0
production_productlistpricehistory,ProductID,production_productproductphoto,ProductID,0,1
sales_salesterritoryhistory,TerritoryID,sales_salesterritory,TerritoryID,1,0
production_productreview,Rating,purchasing_purchaseorderheader,PurchaseOrderID,0,0
purchasing_purchaseorderheader,PurchaseOrderID,production_transactionhistoryarchive,TransactionID,0,0
production_productproductphoto,ProductID,purchasing_purchaseorderheader,PurchaseOrderID,0,0
production_billofmaterials,ComponentID,production_product,ProductID,1,1
person_businessentityaddress,AddressID,person_address,AddressID,1,0
person_businessentitycontact,BusinessEntityID,person_businessentity,BusinessEntityID,1,0
production_transactionhistoryarchive,Quantity,sales_salesorderdetail,SalesOrderDetailID,0,0
production_productsubcategory,ProductCategoryID,sales_salesterritory,TerritoryID,0,0
production_productsubcategory,ProductCategoryID,purchasing_purchaseorderdetail,PurchaseOrderDetailID,0,0
sales_salesorderheader,BillToAddressID,person_address,AddressID,1,0
production_transactionhistory,ProductID,person_address,AddressID,0,0
production_productreview,Rating,person_stateprovince,StateProvinceID,0,0
production_productmodel,ProductModelID,production_transactionhistoryarchive,TransactionID,0,0
humanresources_employee,BusinessEntityID,sales_personcreditcard,CreditCardID,0,0
sales_currencyrate,ToCurrencyCode,sales_currency,CurrencyCode,1,0
sales_store,BusinessEntityID,person_businessentity,BusinessEntityID,1,0
purchasing_productvendor,BusinessEntityID,sales_creditcard,CreditCardID,0,0
production_productinventory,LocationID,production_location,LocationID,1,0
production_productsubcategory,ProductSubcategoryID,sales_personcreditcard,CreditCardID,0,0
person_businessentityaddress,AddressTypeID,person_addresstype,AddressTypeID,1,0
production_productcosthistory,ProductID,production_product,ProductID,1,0
production_billofmaterials,UnitMeasureCode,production_unitmeasure,UnitMeasureCode,1,1
humanresources_employeedepartmenthistory,BusinessEntityID,humanresources_employee,BusinessEntityID,1,0
humanresources_jobcandidate,BusinessEntityID,humanresources_employee,BusinessEntityID,1,0
sales_store,SalesPersonID,sales_salesperson,BusinessEntityID,1,0
sales_specialofferproduct,SpecialOfferID,sales_specialoffer,SpecialOfferID,1,0
humanresources_jobcandidate,BusinessEntityID,purchasing_purchaseorderdetail,PurchaseOrderDetailID,0,0
production_productinventory,ProductID,production_product,ProductID,1,0
sales_salesorderheader,CurrencyRateID,sales_currencyrate,CurrencyRateID,1,0
person_addresstype,AddressTypeID,production_productsubcategory,ProductSubcategoryID,0,0
production_workorderrouting,ProductID,person_address,AddressID,0,0
production_document,Owner,person_address,AddressID,0,0
production_document,Owner,humanresources_employee,BusinessEntityID,1,0
humanresources_employeedepartmenthistory,BusinessEntityID,person_businessentityaddress,AddressID,0,0
production_productmodelillustration,ProductModelID,person_personphone,BusinessEntityID,0,0
production_productsubcategory,ProductCategoryID,purchasing_purchaseorderheader,PurchaseOrderID,0,0
sales_salesperson,BusinessEntityID,humanresources_employee,BusinessEntityID,1,0
production_product,WeightUnitMeasureCode,production_unitmeasure,UnitMeasureCode,1,0
production_productmodelillustration,ProductModelID,production_productmodel,ProductModelID,1,0
sales_shoppingcartitem,Quantity,person_businessentity,BusinessEntityID,0,0
purchasing_productvendor,MinOrderQty,production_workorder,WorkOrderID,0,0
humanresources_employee,BusinessEntityID,person_person,BusinessEntityID,1,1
production_product,ProductSubcategoryID,production_productsubcategory,ProductSubcategoryID,1,1
humanresources_employee,BusinessEntityID,sales_customer,CustomerID,0,0
purchasing_productvendor,AverageLeadTime,sales_salesorderdetail,SalesOrderDetailID,0,0
production_productmodelillustration,ProductModelID,humanresources_employee,BusinessEntityID,0,0
production_productsubcategory,ProductSubcategoryID,sales_customer,CustomerID,0,0
person_address,StateProvinceID,person_stateprovince,StateProvinceID,1,1
sales_salesorderheader,CustomerID,sales_customer,CustomerID,1,0
production_billofmaterials,BillOfMaterialsID,purchasing_purchaseorderheader,PurchaseOrderID,0,0
production_productmodelillustration,IllustrationID,production_illustration,IllustrationID,1,0
production_productphoto,ProductPhotoID,person_emailaddress,BusinessEntityID,0,0
person_stateprovince,CountryRegionCode,person_countryregion,CountryRegionCode,1,0
sales_salesorderheadersalesreason,SalesOrderID,sales_salesorderheader,SalesOrderID,1,0
person_personphone,BusinessEntityID,person_person,BusinessEntityID,1,0
purchasing_purchaseorderheader,ShipMethodID,purchasing_shipmethod,ShipMethodID,1,1
person_person,BusinessEntityID,person_businessentity,BusinessEntityID,1,0
production_product,ProductID,production_productproductphoto,ProductID,0,1
sales_salesperson,TerritoryID,person_contacttype,ContactTypeID,0,0
purchasing_productvendor,BusinessEntityID,purchasing_vendor,BusinessEntityID,1,1
person_businessentity,BusinessEntityID,production_transactionhistoryarchive,TransactionID,0,0
person_personphone,PhoneNumberTypeID,sales_salesorderdetail,SalesOrderDetailID,0,0
production_productsubcategory,ProductCategoryID,production_productcategory,ProductCategoryID,1,0
sales_salestaxrate,StateProvinceID,person_stateprovince,StateProvinceID,1,0
sales_salesterritoryhistory,BusinessEntityID,person_emailaddress,BusinessEntityID,0,0
production_productphoto,ProductPhotoID,production_workorder,WorkOrderID,0,0
person_emailaddress,BusinessEntityID,sales_salesorderdetail,SalesOrderDetailID,0,0
purchasing_productvendor,MinOrderQty,production_transactionhistoryarchive,TransactionID,0,0
person_phonenumbertype,PhoneNumberTypeID,purchasing_purchaseorderdetail,PurchaseOrderDetailID,0,0
production_product,ProductSubcategoryID,sales_creditcard,CreditCardID,0,0
person_password,BusinessEntityID,person_person,BusinessEntityID,1,1
