Table_A,Column_A,Table_B,Column_B,label,result
InvoiceLines,StockItemID,StockItems,StockItemID,1,1
Suppliers,AlternateContactPersonID,People,PersonID,1,0
StockItems_Archive,LastEditedBy,InvoiceLines,InvoiceLineID,0,0
Customers_Archive,LastEditedBy,StockItemTransactions,StockItemTransactionID,0,0
BuyingGroups,LastEditedBy,SupplierCategories_Archive,LastEditedBy,0,1
StockItems,ColorID,Colors,ColorID,1,0
Invoices,DeliveryMethodID,DeliveryMethods,DeliveryMethodID,1,0
PurchaseOrders,SupplierID,Suppliers,SupplierID,1,1
Colors_Archive,LastEditedBy,SpecialDeals,SpecialDealID,0,0
SystemParameters,LastEditedBy,DeliveryMethods_Archive,LastEditedBy,0,0
ColdRoomTemperatures_Archive,ColdRoomSensorNumber,PackageTypes,PackageTypeID,0,1
StockItems,ColorID,InvoiceLines,InvoiceLineID,0,0
Orders,CustomerID,Customers,CustomerID,1,0
PaymentMethods_Archive,PaymentMethodID,Orders,OrderID,0,0
Orders,SalespersonPersonID,People,PersonID,1,1
StockItemStockGroups,LastEditedBy,People,PersonID,1,0
Customers,CustomerCategoryID,CustomerCategories,CustomerCategoryID,1,0
StockItemStockGroups,StockGroupID,StockGroups,StockGroupID,1,0
CustomerTransactions,TransactionTypeID,TransactionTypes,TransactionTypeID,1,1
PaymentMethods,LastEditedBy,People,PersonID,1,1
Suppliers_Archive,DeliveryCityID,OrderLines,OrderLineID,0,0
CustomerTransactions,PaymentMethodID,Suppliers_Archive,SupplierID,0,0
Suppliers_Archive,DeliveryCityID,InvoiceLines,InvoiceLineID,0,0
Suppliers,LastEditedBy,People,PersonID,1,0
StockItemStockGroups,StockItemID,StockItems,StockItemID,1,1
Customers_Archive,PaymentDays,StockItems,StockItemID,0,0
Customers,DeliveryCityID,Cities,CityID,1,0
PurchaseOrderLines,LastEditedBy,People,PersonID,1,0
Customers_Archive,RunPosition,SpecialDeals,DealDescription,0,0
People_Archive,LastEditedBy,Countries,CountryID,0,0
Invoices,SalespersonPersonID,People,PersonID,1,1
InvoiceLines,InvoiceID,Invoices,InvoiceID,1,1
StateProvinces_Archive,LastEditedBy,PurchaseOrders,PurchaseOrderID,0,0
OrderLines,StockItemID,Invoices,OrderID,0,0
Customers,LastEditedBy,People,PersonID,1,0
StockItemTransactions,StockItemID,StockItems,StockItemID,1,1
Customers,RunPosition,SystemParameters,DeliveryAddressLine1,0,0
Customers,BuyingGroupID,BuyingGroups,BuyingGroupID,1,0
Invoices,AccountsPersonID,People,PersonID,1,0
StockItemHoldings,StockItemID,StockItems,StockItemID,1,1
Invoices,CustomerID,Customers,CustomerID,1,0
InvoiceLines,LastEditedBy,People,PersonID,1,1
Colors_Archive,ValidFrom,DeliveryMethods_Archive,ValidFrom,0,0
DeliveryMethods,LastEditedBy,People,PersonID,1,1
Customers_Archive,RunPosition,SupplierCategories,SupplierCategoryName,0,0
StockGroups,StockGroupID,PurchaseOrderLines,PurchaseOrderLineID,0,0
Invoices,LastEditedBy,StockItemStockGroups,StockItemStockGroupID,0,0
CustomerTransactions,InvoiceID,Invoices,InvoiceID,1,0
Cities_Archive,ValidFrom,Colors_Archive,ValidFrom,0,0
StateProvinces_Archive,LastEditedBy,Cities,CityID,0,0
StockItemTransactions,PurchaseOrderID,PurchaseOrders,PurchaseOrderID,1,0
Suppliers_Archive,DeliveryMethodID,Orders,OrderID,0,0
SupplierTransactions,PurchaseOrderID,PurchaseOrders,PurchaseOrderID,1,0
PaymentMethods,LastEditedBy,PurchaseOrderLines,PurchaseOrderLineID,0,0
PurchaseOrderLines,StockItemID,StockItems,StockItemID,1,1
PurchaseOrderLines,StockItemID,Orders,OrderID,0,0
BuyingGroups,ValidFrom,Colors_Archive,ValidFrom,0,0
Colors,LastEditedBy,People,PersonID,1,1
Customers,RunPosition,SystemParameters,DeliveryPostalCode,0,0
BuyingGroups,LastEditedBy,People,PersonID,1,1
Colors_Archive,LastEditedBy,StockItems,StockItemID,0,0
Customers,DeliveryRun,TransactionTypes_Archive,TransactionTypeName,0,0
Colors_Archive,ColorID,OrderLines,OrderLineID,0,0
StockItemTransactions,InvoiceID,Invoices,InvoiceID,1,0
Suppliers,PostalCityID,Cities,CityID,1,0
PackageTypes,LastEditedBy,StockItems,StockItemID,0,0
Suppliers,SupplierCategoryID,SupplierCategories,SupplierCategoryID,1,0
StockItemStockGroups,LastEditedBy,StockItems,StockItemID,0,0
