,Unnamed: 0,Table_A,Column_A,Table_B,Column_B,label,result
0,0,l_recording_recording,entity0_credit,release_status,description,0,0
1,1,work_alias,work,work,id,1,1
2,2,l_artist_work,entity0,artist,id,1,1
3,3,l_artist_series,entity1,series,id,1,1
4,4,editor_collection_area,area,area,id,1,1
5,5,l_event_release_group,link,link,id,1,1
6,6,medium_cdtoc,cdtoc,cdtoc,id,1,1
7,7,l_place_place,entity1,place,id,1,1
8,8,l_area_release,entity1_credit,recording_alias_type,name,0,0
9,9,l_area_url,link,link,id,1,0
10,10,l_event_label,entity1,label,id,1,1
11,11,label_annotation,annotation,annotation,id,1,1
12,12,alternative_release_type,description,release_alias_type,name,0,0
13,13,place_gid_redirect,new_id,place,id,1,1
14,14,series_annotation,annotation,annotation,id,1,1
15,15,editor_collection,type,editor_collection_type,id,1,1
16,16,l_release_group_url,entity0,release_group,id,1,1
17,17,l_recording_release,entity1_credit,area_type,description,0,0
18,18,l_artist_place,entity1,place,id,1,1
19,19,series,ordering_type,series_ordering_type,id,1,1
20,20,area_annotation,area,area,id,1,1
21,21,recording_series,relationship,l_recording_series,id,0,0
22,22,l_release_group_url,entity1_credit,event_type,description,0,0
23,23,l_label_release,entity1,release_meta,id,0,0
24,24,l_place_recording,link,link,id,1,1
25,25,label_rating_raw,editor,editor,id,1,1
26,26,recording_alias_type,id,recording_alias,id,0,0
27,27,work_attribute,work_attribute_type,work_attribute_type,id,1,1
28,28,recording_tag_raw,tag,tag,id,1,1
29,29,l_event_place,link,link,id,1,0
30,30,link_attribute_credit,link,link,id,1,1
31,31,instrument_annotation,instrument,work_attribute_type_allowed_value,id,0,0
32,32,l_area_genre,entity0_credit,instrument_alias_type,name,0,0
33,33,l_event_work,entity0_credit,release_group_secondary_type,name,0,0
34,34,l_event_label,entity0_credit,series_alias_type,name,0,0
35,35,editor_collection_series,comment,release_alias_type,name,0,0
36,36,link,link_type,link_type,id,1,1
37,37,medium_cdtoc,medium,medium,id,1,1
38,38,gender,child_order,genre,id,0,0
39,39,release_tag_raw,editor,editor,id,1,1
40,40,l_place_place,entity0,place,id,1,1
41,41,l_area_release,entity1_credit,release_status,description,0,0
42,42,l_recording_release,entity0_credit,release_group_secondary_type,description,0,0
43,43,l_event_recording,entity0_credit,area_alias_type,name,0,0
44,44,l_place_recording,entity0,place,id,1,1
45,45,label_isni,label,label,id,1,1
46,46,l_release_release,entity1_credit,release_group_secondary_type,description,0,0
47,47,release_group_alias,release_group,release_group,id,1,1
48,48,work_attribute_type,comment,release_packaging,name,0,0
49,49,link_attribute_text_value,attribute_type,link_text_attribute_type,attribute_type,1,1
50,50,artist_type,id,event_type,id,0,0
51,51,work_rating_raw,editor,editor,id,1,1
52,52,l_artist_series,entity1_credit,artist_alias_type,name,0,0
53,53,orderable_link_type,link_type,work_attribute_type_allowed_value,id,0,0
54,54,place_annotation,place,place,id,1,1
55,55,l_area_event,link,link,id,1,1
56,56,release_group_alias_type,id,l_area_area,id,0,0
57,57,instrument_tag,count,area_type,child_order,0,0
58,58,l_area_series,entity0_credit,release_group_secondary_type,description,0,0
59,59,l_area_recording,entity1_credit,event_type,description,0,0
60,60,l_label_place,entity0_credit,area_alias_type,name,0,0
61,61,release_group_tag_raw,editor,editor,id,1,1
62,62,release_group_alias_type,id,work_type,id,0,0
63,63,l_place_recording,entity1_credit,alternative_release_type,name,0,0
64,64,l_recording_work,link,link,id,1,1
65,65,release,artist_credit,artist_credit,id,1,1
66,66,l_work_work,edits_pending,series_ordering_type,child_order,0,0
67,67,l_label_work,entity1_credit,event_type,description,0,0
68,68,editor_collection_recording,comment,release_alias_type,name,0,0
69,69,editor_collection_artist,collection,editor_collection,id,1,1
70,70,l_artist_work,link,link,id,1,1
71,71,l_release_release,link,link,id,1,1
72,72,label_tag,tag,tag,id,1,1
73,73,area_type,child_order,work_attribute_type_allowed_value,id,0,0
74,74,instrument_alias,instrument,instrument,id,1,1
75,75,release_group_secondary_type_join,secondary_type,work_attribute_type_allowed_value,id,0,0
76,76,editor_subscribe_label,label,label,id,1,1
77,77,editor_subscribe_label,editor,editor,id,1,1
78,78,l_area_instrument,entity1,instrument,id,1,1
79,79,l_event_recording,entity1_credit,recording_alias_type,name,0,0
80,80,editor_subscribe_artist,artist,artist,id,1,1
81,81,editor_collection_recording,comment,series_type,description,0,0
82,82,work_tag_raw,editor,editor,id,1,1
83,83,l_release_group_url,entity1,url,id,1,1
84,84,l_artist_recording,entity0,artist,id,1,1
85,85,artist_annotation,annotation,annotation,id,1,1
86,86,artist_isni,artist,artist_meta,id,0,0
87,87,l_event_series,entity1_credit,release_status,description,0,0
88,88,series_alias,series,series,id,1,1
89,89,l_event_work,link,link,id,1,1
90,90,l_place_series,entity1,series,id,1,1
91,91,editor_collection_type,child_order,gender,child_order,0,0
92,92,work_gid_redirect,new_id,work,id,1,0
93,93,l_event_url,link,link,id,1,1
94,94,artist_gid_redirect,new_id,artist,id,1,1
95,95,editor_collection_type,child_order,l_artist_work,id,0,0
96,96,event_alias_type,id,area_alias,id,0,0
97,97,l_event_release,link,link,id,1,1
98,98,release_group_tag,release_group,release_group,id,1,1
99,99,l_recording_release,entity1,release,id,1,1
100,100,event_tag_raw,tag,tag,id,1,1
101,101,l_recording_release,link,link,id,1,1
102,102,l_place_series,entity0,place,id,1,1
103,103,l_event_recording,entity0,event,id,1,1
104,104,l_recording_work,entity1_credit,release_group_alias_type,name,0,0
105,105,l_label_url,entity0,label,id,1,0
106,106,l_artist_event,entity0,artist,id,1,1
107,107,genre_alias_type,id,iso_3166_1,area,0,0
108,108,link_attribute_credit,attribute_type,link_creditable_attribute_type,attribute_type,1,0
109,109,work_attribute,work,work,id,1,1
110,110,event_tag_raw,editor,editor,id,1,1
111,111,release_alias,release,release,id,1,1
112,112,l_event_series,entity1,series,id,1,1
113,113,artist_ipi,artist,artist,id,1,1
114,114,release_group_primary_type,child_order,recording_alias,id,0,0
115,115,l_label_place,link,link,id,1,1
116,116,l_label_work,entity1_credit,area_type,description,0,0
117,117,l_place_work,entity1,work,id,1,1
118,118,series_ordering_type,id,iso_3166_1,area,0,0
119,119,series_alias_type,id,script,id,0,0
120,120,release_tag,tag,tag,id,1,1
121,121,editor_collection,type,work_type,id,0,0
122,122,l_label_recording,entity0,label,id,1,1
123,123,l_work_work,entity1_credit,release_group_secondary_type,name,0,0
124,124,l_event_url,entity1,url,id,1,1
125,125,l_label_series,link,link,id,1,1
126,126,l_place_series,entity1,artist_alias,id,0,0
127,127,work_alias_type,id,genre_alias,id,0,0
128,128,l_area_series,entity1,series,id,1,1
129,129,l_event_label,link,link,id,1,1
130,130,l_area_recording,entity0,area,id,1,1
131,131,l_area_genre,entity1_credit,area_type,description,0,0
132,132,release_status,child_order,l_artist_work,id,0,0
133,133,l_recording_url,link,link,id,1,1
134,134,editor,email,artist_type,name,0,0
135,135,release_group_meta,id,release_group,id,1,1
136,136,release_unknown_country,release,release,id,1,1
137,137,l_place_release,link,link,id,1,1
138,138,place_tag_raw,place,place,id,1,1
139,139,l_label_url,entity1_credit,url,url,0,0
140,140,instrument_tag,instrument,link_attribute_type,id,0,0
141,141,event_rating_raw,event,event,id,1,1
142,142,l_url_work,link,link,id,1,1
143,143,series_tag_raw,tag,tag,id,1,1
144,144,l_area_genre,link,link,id,1,1
145,145,l_release_group_url,entity0_credit,area_alias_type,name,0,0
146,146,instrument_alias_type,id,gender,id,0,0
147,147,edit,editor,editor,id,1,1
148,148,event_tag_raw,event,event,id,1,1
149,149,l_release_url,entity0,release,id,1,1
150,150,event_alias_type,id,l_area_area,id,0,0
151,151,series_ordering_type,id,l_area_area,id,0,0
152,152,series_alias_type,id,link_type,id,0,0
153,153,l_artist_event,entity1_credit,series_ordering_type,description,0,0
154,154,work_type,child_order,link_type,id,0,0
155,155,l_event_place,entity0_credit,genre_alias_type,name,0,0
156,156,vote,editor,editor,id,1,1
157,157,work_language,language,language,id,1,1
158,158,editor_collection_label,comment,work_alias_type,name,0,0
159,159,l_work_work,entity0_credit,series_alias_type,name,0,0
160,160,l_recording_work,entity0_credit,instrument_alias_type,name,0,0
161,161,l_event_series,link_order,iso_3166_1,area,0,0
162,162,l_event_event,link,link,id,1,1
163,163,l_area_genre,entity0_credit,release_status,description,0,0
164,164,series,ordering_type,l_recording_work,id,0,0
165,165,link_creditable_attribute_type,attribute_type,link_attribute_type,id,1,1
166,166,l_place_release,entity1_credit,series_ordering_type,description,0,0
167,167,editor_collection_area,collection,editor_collection,id,1,1
168,168,label_alias_type,id,script,id,0,0
169,169,l_place_url,entity1,url,id,1,0
170,170,l_work_work,entity1_credit,release_group_primary_type,description,0,0
171,171,edit_release,release,release,id,1,1
172,172,l_area_instrument,id,link_creditable_attribute_type,attribute_type,0,0
173,173,l_place_release,entity1_credit,release_group_alias_type,name,0,0
174,174,release_group_gid_redirect,new_id,release_group,id,1,1
175,175,editor_language,language,language,id,1,1
176,176,label_gid_redirect,new_id,label,id,1,1
177,177,l_label_series,entity1_credit,release_group_secondary_type,description,0,0
178,178,country_area,area,area,id,1,1
179,179,genre_alias_type,id,l_label_work,id,0,0
180,180,l_place_work,link,link,id,1,1
181,181,l_event_release,entity1_credit,release_status,description,0,0
182,182,l_event_recording,link,link,id,1,1
183,183,event_series,link_order,instrument,id,0,0
184,184,release_meta,id,release,id,1,1
185,185,l_artist_place,entity0,artist_meta,id,0,0
186,186,l_area_genre,entity0,l_recording_work,id,0,0
187,187,l_event_series,link_order,link_attribute_type,id,0,0
188,188,l_series_series,entity0_credit,recording_alias_type,name,0,0
189,189,series_tag,tag,tag,id,1,1
190,190,instrument_type,child_order,link_attribute_type,id,0,0
191,191,release_gid_redirect,new_id,release,id,1,1
192,192,l_label_series,entity0,label,id,1,0
193,193,work_type,child_order,recording_alias_type,id,0,0
194,194,genre_alias_type,id,gender,child_order,0,0
195,195,l_label_work,link,link,id,1,1
196,196,l_area_url,entity1,url,id,1,1
197,197,release_country,release,release,id,1,1
198,198,l_recording_work,entity1,work,id,1,1
199,199,l_area_instrument,id,genre_alias,id,0,0
200,200,l_series_url,entity1_credit,alternative_release_type,name,0,0
201,201,l_area_area,entity0_credit,genre_alias_type,name,0,0
202,202,l_event_series,entity1_credit,release_alias_type,name,0,0
203,203,work_alias,edits_pending,series_ordering_type,child_order,0,0
204,204,release_group_primary_type,id,country_area,area,0,0
205,205,l_artist_url,entity0,artist,id,1,1
206,206,label_tag_raw,label,label,id,1,0
207,207,vote,edit,edit,id,1,1
208,208,release_annotation,release,release,id,1,1
209,209,l_label_series,entity1,series,id,1,0
210,210,recording_tag_raw,editor,editor,id,1,1
211,211,release_unknown_country,release,release_meta,id,0,0
212,212,l_series_series,entity1_credit,series_type,description,0,0
213,213,release_tag_raw,tag,tag,id,1,1
214,214,l_area_series,link,link,id,1,1
215,215,l_label_url,entity1_credit,artist_alias_type,name,0,0
216,216,l_event_release_group,id,language,id,0,0
217,217,editor_collection_artist,artist,artist,id,1,1
218,218,editor_collection_type,child_order,artist_alias_type,id,0,0
219,219,l_label_place,entity1_credit,area_alias_type,name,0,0
220,220,l_url_work,edits_pending,series_ordering_type,child_order,0,0
221,221,work_tag,tag,tag,id,1,1
222,222,l_label_recording,entity1_credit,event_alias_type,name,0,0
223,223,l_artist_release_group,entity1,release_group,id,1,1
224,224,cdtoc,track_count,instrument,id,0,0
225,225,editor_collection,type,link_attribute_type,id,0,0
226,226,medium,release,release,id,1,1
227,227,release_label,release,release,id,1,1
228,228,instrument_type,id,series_type,id,0,0
229,229,series,ordering_type,annotation,id,0,0
230,230,annotation,editor,editor,id,1,1
231,231,l_event_place,entity0_credit,event_type,description,0,0
232,232,place_tag,tag,tag,id,1,1
233,233,l_place_release,entity0,place,id,1,1
234,234,l_event_series,entity0,event,id,1,1
235,235,l_area_series,entity0_credit,release_group_alias_type,name,0,0
236,236,editor_collection_work,work,work,id,1,1
237,237,l_area_genre,entity1,genre,id,1,0
238,238,work_attribute_type,comment,event_alias,name,0,0
239,239,editor_collection_series,comment,recording_alias_type,name,0,0
240,240,gender,id,area_type,id,0,0
241,241,l_release_series,entity1_credit,release_group_alias_type,name,0,0
242,242,release_group,artist_credit,artist_credit,id,1,1
243,243,instrument_alias_type,id,editor_collection_type,id,0,0
244,244,release_group_tag_raw,tag,tag,id,1,1
245,245,l_label_release,entity1,release,id,1,1
246,246,iso_3166_2,area,area,id,1,0
247,247,instrument_tag,count,series_ordering_type,id,0,0
248,248,editor_collection_area,comment,artist_alias_type,name,0,0
249,249,l_label_recording,link,link,id,1,1
250,250,l_artist_artist,link,link,id,1,1
251,251,iswc,work,work,id,1,1
252,252,artist_rating_raw,editor,editor,id,1,1
253,253,l_release_group_series,entity1,series,id,1,1
254,254,l_area_recording,entity1_credit,release_group_primary_type,description,0,0
255,255,l_series_work,entity0_credit,release_group_secondary_type,name,0,0
256,256,l_recording_url,entity0_credit,work_alias_type,name,0,0
257,257,l_label_release,entity0,label_meta,id,0,0
258,258,l_place_work,entity1_credit,instrument_alias_type,name,0,0
259,259,l_recording_series,entity1,series,id,1,1
260,260,label_type,id,release_group_secondary_type,id,0,0
261,261,artist_credit_name,artist_credit,artist_credit,id,1,1
262,262,l_area_genre,entity1,language,id,0,0
263,263,l_series_work,entity1,work,id,1,1
264,264,l_release_release,entity1_credit,series_type,description,0,0
265,265,l_label_release,link,link,id,1,1
266,266,l_event_event,entity1_credit,release_group_secondary_type,name,0,0
267,267,link_type_attribute_type,attribute_type,link_attribute_type,id,1,1
268,268,l_event_place,entity1,place,id,1,1
269,269,editor_collection,editor,editor,id,1,1
270,270,event_annotation,annotation,annotation,id,1,1
271,271,l_area_series,entity0,area,id,1,1
272,272,l_event_release_group,entity0_credit,event_type,description,0,0
273,273,l_area_event,entity1,event,id,1,1
274,274,area_tag_raw,editor,editor,id,1,1
275,275,iso_3166_3,area,area,id,1,1
276,276,l_work_work,entity0,work,id,1,1
277,277,instrument_annotation,instrument,genre,id,0,0
278,278,l_release_group_release_group,entity0,release_group,id,1,1
279,279,area_tag_raw,tag,tag,id,1,1
280,280,l_artist_work,entity1_credit,release_group_secondary_type,description,0,0
281,281,l_event_release_group,entity0,event,id,1,1
282,282,artist_isni,artist,artist,id,1,1
283,283,event_type,child_order,link_type,id,0,0
284,284,l_work_work,link,link,id,1,1
285,285,l_event_label,id,genre,id,0,0
286,286,iso_3166_1,area,area,id,1,1
287,287,label_rating_raw,label,label,id,1,1
288,288,release_country,country,country_area,area,1,0
289,289,label_ipi,label,label,id,1,1
290,290,series_alias_type,id,release_group_primary_type,child_order,0,0
291,291,place_alias,place,place,id,1,1
292,292,artist_meta,id,artist,id,1,1
293,293,l_area_event,entity1_credit,work_type,description,0,0
294,294,l_area_work,link,link,id,1,1
295,295,recording_alias_type,id,genre,id,0,0
296,296,work_type,id,area_alias,id,0,0
297,297,place_type,id,l_area_area,id,0,0
298,298,event_alias_type,id,place_alias_type,id,0,0
299,299,work_annotation,work,work,id,1,1
300,300,l_recording_recording,entity1_credit,instrument_alias_type,name,0,0
301,301,editor_subscribe_series,editor,editor,id,1,1
302,302,editor_language,editor,editor,id,1,1
303,303,l_label_place,entity1,place,id,1,1
304,304,series_ordering_type,id,work_type,id,0,0
305,305,l_release_url,entity0_credit,alternative_release_type,name,0,0
306,306,artist_alias,artist,artist,id,1,1
307,307,release_annotation,release,release_meta,id,0,0
308,308,l_event_recording,entity1_credit,place_alias_type,name,0,0
309,309,l_release_url,link,link,id,1,1
310,310,editor_collection_release_group,collection,editor_collection,id,1,1
311,311,l_series_series,entity0_credit,area_type,description,0,0
312,312,release_event,release,release,id,0,1
313,313,l_artist_artist,entity0,artist,id,1,1
314,314,l_artist_release,entity1,release,id,1,1
315,315,l_artist_release,entity0,artist,id,1,1
316,316,series_type,id,script,id,0,0
317,317,l_event_recording,entity0_credit,release_alias_type,name,0,0
318,318,l_artist_place,entity0,artist,id,1,1
319,319,editor_subscribe_series,series,series,id,1,1
320,320,l_event_work,entity1_credit,label_alias_type,name,0,0
321,321,series,ordering_type,l_label_work,id,0,0
322,322,genre_alias,genre,genre,id,1,1
323,323,work_type,child_order,release_group_secondary_type,id,0,0
324,324,medium,release,release_meta,id,0,0
325,325,l_label_work,entity1_credit,recording_alias_type,name,0,0
